"","Stunting","StuntingMale","StuntingFemale","StuntingUrban","StuntingNotUrban","StuntingYouth","StuntingAdolescent","Thinness","ThinnessMale","ThinnessFemale","ThinnessUrban","ThinnessNotUrban","ThinnessYouth","ThinnessAdolescent","Wasting","WastingMale","WastingFemale","WastingUrban","WastingNotUrban"
"Age",97,100,97,98,8,100,97,19,98,27,17,35,2,10,100,100,88,100,100
"Sex",99,0,0,93,43,100,99,18,0,0,33,59,83,41,39,0,0,16,70
"FamilySize",2,37,0,1,17,20,2,88,96,0,99,14,68,24,3,18,45,1,1
"Vaccine",98,90,98,97,8,68,98,5,23,79,17,16,4,30,23,15,0,8,17
"BCGScar",0,2,1,0,9,0,0,46,72,3,21,51,16,31,49,4,95,85,30
"Urban",1,0,10,0,0,0,1,0,7,13,0,0,8,25,4,5,10,0,0
"KitchenSeparate",37,15,63,87,39,2,37,4,55,4,4,2,17,3,10,17,54,28,4
"CookElectric",17,23,1,6,2,75,17,55,32,20,78,7,51,18,33,74,4,13,5
"Cattle",34,29,0,28,57,48,34,17,2,80,19,5,44,0,4,0,7,36,4
"SheepGoat",4,71,78,12,8,14,4,53,94,15,3,79,48,26,46,6,76,6,69
"Chicken",0,0,12,0,0,11,0,21,15,3,16,32,7,64,75,82,18,24,100
"HousePet",97,5,100,92,19,99,97,7,18,55,7,3,67,43,40,28,99,68,19
"PotableWaterFromHouse",62,64,6,76,5,7,62,0,12,1,1,6,3,15,2,2,8,17,43
"DontTreatWater",1,18,4,15,34,9,1,0,6,4,0,18,2,3,6,42,6,15,22
"LatOutside",20,37,21,5,0,59,20,17,0,6,36,0,0,20,5,0,1,22,0
"DefecateField",0,0,12,0,4,0,0,4,13,18,14,86,7,6,81,88,16,51,64
"DontUseSchoolLat",2,8,1,0,100,15,2,25,63,9,17,53,5,38,74,90,8,40,87
"DontUseTP",16,70,15,33,20,82,16,11,0,23,7,0,2,22,3,3,21,7,0
"EatSoil",35,5,8,34,56,5,35,2,52,60,3,0,8,1,2,1,7,4,0
"NeverWashFruit",10,6,14,15,61,9,10,16,0,2,26,0,0,0,79,38,29,77,0
"EatRawVeg",0,29,18,4,19,16,0,25,28,4,8,96,13,19,4,7,21,0,21
"WashRawVegFrequency",11,5,20,6,53,1,11,4,0,13,2,0,48,6,19,65,3,19,1
"WalkBarefoot",11,6,14,46,10,5,11,3,0,9,30,30,7,1,12,1,19,2,22
"DewormPill",4,24,8,17,17,14,4,1,13,12,22,39,9,27,16,7,32,23,11
"Antibiotics",8,0,66,2,2,0,8,19,7,100,0,96,6,28,6,61,70,3,19
"DocConfirmedAsthma",75,19,89,71,0,2,75,13,0,79,22,0,0,77,45,2,4,33,0
"Rash",3,3,4,17,25,67,3,1,16,2,4,18,19,12,15,65,10,14,21
"momFinishedPrimary",45,29,63,21,60,11,45,70,11,80,79,13,1,72,0,5,38,4,50
"houseDustFloor",15,34,3,7,17,0,15,41,11,51,11,63,94,0,18,4,68,29,20
"washHandsLatWater",1,6,6,0,1,0,1,7,2,12,2,35,6,6,1,3,0,2,37
"washHandsLatWaterSoap",0,17,2,0,3,13,0,0,0,6,1,35,2,0,21,7,27,2,56
"washHandsWaterB4Eat",1,4,3,0,8,7,1,5,12,3,6,0,3,39,0,1,1,0,0
"washHandsSoapB4Eat",1,3,7,3,10,37,1,94,88,19,79,0,26,61,2,2,4,5,0
"SickLast2Weeks",1,24,36,1,4,4,1,29,1,38,22,12,2,91,19,8,11,40,20
"NailsMaintained",23,76,4,8,58,4,23,72,83,12,92,17,90,20,15,5,39,6,11
"SchoolLatClean",100,69,75,92,66,59,100,70,0,81,81,0,81,0,79,81,0,81,0
"RadioTV",1,2,15,2,4,1,1,35,51,12,7,59,55,7,5,10,16,12,16
"RiverCleaning",5,0,1,1,33,0,5,0,9,6,1,14,18,5,1,0,42,2,8
"OtherMeds",63,61,0,5,88,36,63,81,5,0,99,0,71,27,30,16,0,31,8
"momFinished2Up",0,9,25,5,32,0,0,22,5,39,14,7,7,82,14,37,3,74,44
