"","Stunting","StuntingMale","StuntingFemale","StuntingUrban","StuntingNotUrban","StuntingYouth","StuntingAdolescent","Thinness","ThinnessMale","ThinnessFemale","ThinnessUrban","ThinnessNotUrban","ThinnessYouth","ThinnessAdolescent","Wasting","WastingMale","WastingFemale","WastingUrban","WastingNotUrban"
"Age",100,100,64,100,100,100,100,0,47,14,0,94,99,22,100,100,100,100,100
"Sex",100,0,0,95,58,99,51,63,0,0,55,69,41,89,85,0,0,84,67
"FamilySize",100,100,20,100,100,100,100,0,48,0,11,12,18,18,0,91,91,46,100
"Vaccine",98,67,74,97,9,43,96,48,72,37,49,86,21,27,2,3,19,8,27
"BCGScar",45,3,56,26,0,0,80,100,98,95,95,49,88,93,66,42,79,68,44
"Urban",1,0,0,0,0,0,7,2,30,0,0,0,0,30,1,13,1,0,0
"KitchenSeparate",27,4,0,48,17,2,87,0,0,0,0,0,0,0,0,0,4,0,0
"CookElectric",64,78,49,67,9,93,3,100,92,96,100,49,99,83,42,53,54,65,6
"Cattle",19,80,0,0,40,18,10,0,0,0,0,0,0,0,0,0,0,0,0
"SheepGoat",3,72,0,0,6,2,3,0,36,0,0,51,1,0,0,0,0,0,0
"Chicken",8,3,17,5,15,9,24,8,14,32,26,0,41,4,19,3,28,22,41
"HousePet",78,1,92,87,14,100,0,86,33,89,44,76,93,74,95,74,97,93,36
"PotableWaterFromHouse",69,92,11,55,8,59,50,81,21,35,47,72,12,85,47,27,49,38,43
"DontTreatWater",20,15,1,34,4,23,3,0,0,3,0,9,0,0,0,0,12,0,0
"LatOutside",2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"DefecateField",1,1,0,0,9,0,0,1,62,0,1,0,0,1,0,15,0,1,0
"DontUseSchoolLat",14,4,18,7,100,37,12,0,0,22,2,0,1,2,0,0,7,0,0
"DontUseTP",49,15,2,56,4,76,8,0,0,0,0,0,0,0,0,0,0,0,0
"EatSoil",1,5,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0
"NeverWashFruit",0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"EatRawVeg",5,20,57,17,21,13,0,39,18,75,83,0,56,7,72,77,34,64,27
"WashRawVegFrequency",0,1,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0
"WalkBarefoot",34,30,89,77,26,2,69,95,98,84,88,29,56,84,74,85,53,64,61
"DewormPill",14,59,76,26,47,18,38,93,66,93,65,97,68,85,77,53,75,76,14
"Antibiotics",6,3,0,3,10,12,11,0,1,0,0,0,0,0,0,24,0,0,55
"DocConfirmedAsthma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rash",2,6,0,32,25,65,34,0,0,0,0,19,0,0,0,0,2,0,0
"momFinishedPrimary",0,1,79,0,43,1,8,77,81,61,71,9,86,67,84,77,73,83,36
"houseDustFloor",66,76,44,39,25,48,83,28,12,34,0,97,5,53,17,48,60,14,81
"washHandsLatWater",0,1,0,0,5,0,4,0,4,0,1,0,1,1,0,7,0,3,0
"washHandsLatWaterSoap",3,13,0,1,2,13,0,6,27,1,31,0,4,5,1,15,0,3,0
"washHandsWaterB4Eat",1,16,0,0,4,3,24,0,0,0,0,0,0,0,0,0,0,0,0
"washHandsSoapB4Eat",0,8,0,1,1,12,6,0,0,0,0,0,0,0,0,0,0,0,0
"SickLast2Weeks",1,3,66,2,41,13,5,21,25,3,14,74,76,0,28,26,31,41,74
"NailsMaintained",33,28,86,3,95,25,3,20,69,71,65,48,48,18,83,86,33,72,32
"SchoolLatClean",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RadioTV",0,0,0,0,2,4,9,0,4,0,0,35,6,0,0,0,1,0,0
"RiverCleaning",31,68,66,18,41,1,47,74,15,56,72,7,47,69,50,68,30,35,73
"OtherMeds",5,18,0,0,65,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"momFinished2Up",0,5,33,3,50,0,8,58,27,99,80,18,33,83,57,13,67,20,83
