"","Stunting","StuntingMale","StuntingFemale","StuntingUrban","StuntingNotUrban","StuntingYouth","StuntingAdolescent","Thinness","ThinnessMale","ThinnessFemale","ThinnessUrban","ThinnessNotUrban","ThinnessYouth","ThinnessAdolescent","Wasting","WastingMale","WastingFemale","WastingUrban","WastingNotUrban"
"Age",2,0,2,0,17,1,0,60,80,60,52,75,85,58,100,95,30,92,3
"Sex",0,0,0,0,0,0,0,75,0,0,67,100,85,64,21,0,0,1,0
"FamilySize",0,0,0,0,0,0,0,31,82,34,58,21,77,16,0,0,3,0,0
"Vaccine",0,0,1,0,0,0,0,80,85,81,81,76,42,29,16,0,14,1,0
"BCGScar",0,0,1,0,0,0,0,100,100,60,92,63,73,64,52,0,57,14,0
"Urban",2,0,12,0,0,0,0,85,57,96,0,0,56,65,2,1,0,0,0
"KitchenSeparate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CookElectric",0,0,0,0,0,0,0,100,80,81,100,22,97,65,16,5,3,1,0
"Cattle",0,0,0,0,0,0,0,0,32,4,0,1,0,0,0,0,0,0,0
"SheepGoat",0,0,2,0,0,0,0,15,94,10,10,71,58,25,0,0,0,0,0
"Chicken",0,0,1,0,0,0,0,88,80,22,77,91,72,84,87,23,2,0,2
"HousePet",0,0,17,0,0,0,0,84,69,64,39,56,86,73,19,3,57,11,2
"PotableWaterFromHouse",3,0,32,0,0,0,0,98,36,64,83,47,49,49,27,1,31,1,0
"DontTreatWater",0,0,0,0,0,0,0,19,53,12,54,17,39,1,40,0,1,3,0
"LatOutside",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DefecateField",0,0,0,0,0,0,0,61,66,3,53,28,90,10,66,16,1,0,0
"DontUseSchoolLat",0,0,1,0,0,0,0,77,47,45,94,0,42,63,50,0,0,1,0
"DontUseTP",0,0,0,0,0,0,0,8,0,37,42,0,7,71,1,0,0,0,0
"EatSoil",0,0,0,0,0,0,0,0,48,0,0,0,1,0,0,0,0,0,0
"NeverWashFruit",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EatRawVeg",0,0,0,0,0,0,0,93,68,29,78,1,71,40,5,1,3,0,1
"WashRawVegFrequency",0,0,0,0,0,0,0,0,46,0,0,0,0,1,0,0,0,0,0
"WalkBarefoot",0,0,0,0,0,0,0,97,59,44,100,42,52,25,17,0,2,0,1
"DewormPill",0,0,0,0,0,0,0,100,90,73,98,80,88,84,50,2,33,4,0
"Antibiotics",0,0,0,0,0,0,0,0,9,0,4,12,17,0,1,8,0,0,1
"DocConfirmedAsthma",0,0,0,0,0,0,0,0,0,31,0,0,0,33,0,0,0,0,0
"Rash",0,0,1,0,0,0,0,1,0,34,34,45,29,33,12,0,0,2,0
"momFinishedPrimary",0,0,0,0,0,0,0,98,67,97,99,22,54,100,7,1,2,1,0
"houseDustFloor",0,0,0,0,0,0,0,98,68,88,92,97,95,49,15,0,37,2,1
"washHandsLatWater",0,0,0,0,0,0,0,66,26,11,69,0,32,31,2,0,0,0,0
"washHandsLatWaterSoap",0,0,1,0,0,0,0,75,29,13,65,0,28,25,5,0,0,0,0
"washHandsWaterB4Eat",0,0,0,0,0,0,0,0,29,0,18,0,63,0,8,1,0,0,0
"washHandsSoapB4Eat",0,0,0,0,0,0,0,0,17,0,31,0,69,0,9,1,0,0,0
"SickLast2Weeks",0,0,6,0,0,0,0,79,38,45,86,93,66,61,4,0,1,0,0
"NailsMaintained",0,0,1,0,0,0,0,80,90,30,99,34,100,6,28,1,3,0,0
"SchoolLatClean",0,0,0,0,0,0,0,0,0,60,5,0,29,0,0,0,0,0,0
"RadioTV",0,0,0,0,0,0,0,39,52,1,17,43,75,3,0,0,0,0,0
"RiverCleaning",9,0,37,11,0,0,0,100,85,81,100,19,97,83,65,3,19,5,0
"OtherMeds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"momFinished2Up",0,0,1,0,0,0,0,93,59,94,93,13,53,95,18,1,0,5,0
